,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",ti,hii,DFFITS,Cooks distance
15321,18120,M,55,5.016,5.02524,238.9,0,0,0,0,1,7711,231.19804988556754,7.701950114432464,5.476045054331764,5.443410250070343,0.03263480426142085,0.5966979857492312,0.0005629024315922601,0.014160982995745685,2.2282582450755647e-05
10866,17346,F,29,5.093999999999999,5.0788,223.98,1,0,0,0,1,5500,227.33898606827069,-3.3589860682706956,5.4115567621545475,5.426044152067325,-0.014487389912777537,-0.26022785948117116,0.0005466517177606072,-0.006085943054056177,4.11570268357496e-06
11939,3624,M,29,4.256,4.47589,227.52,0,0,1,0,0,6013,206.61868469720145,20.901315302798565,5.427238146614876,5.3128148161776565,0.1144233304372193,1.6193095327951348,0.00040195720610435476,0.032471853836477826,0.0001171434969741915
19230,17447,F,35,5.296,5.53525,258.23,1,0,0,0,1,9614,250.89338824691703,7.336611753082991,5.5538506606638975,5.517221237010351,0.03662942365354649,0.5683543723332038,0.0004263899869866846,0.011738573220707175,1.5311242495267454e-05
13631,17040,F,36,5.03,5.05273,233.12,1,0,0,0,1,6831,226.55627500522388,6.563724994776123,5.4515533424468945,5.423789275233428,0.027764067213466248,0.5084759045398464,0.0004144007508989186,0.010353105725678699,1.1910314570951537e-05
521,1658,M,29,3.9960000000000004,4.00901,169.07,0,0,1,0,0,257,183.16670535160011,-14.096705351600122,5.130312830348875,5.222609508865066,-0.09229667851619094,-1.0920624729283166,0.00038891750713905467,-0.021540743978317293,5.15552075140221e-05
22220,21356,F,51,5.513999999999999,5.5930800000000005,280.47,1,0,0,0,1,11059,249.6601187987792,30.809881201220833,5.636466767371334,5.516343073109475,0.12012369426185909,2.3872125884412347,0.000374873717912169,0.046229054459757134,0.00023737372192307664
1943,4350,M,28,3.99,4.1512,184.45,0,0,1,0,0,984,191.8827022670039,-7.4327022670039185,5.217378424042685,5.255366707963748,-0.037988283921063015,-0.5757955345927892,0.00041602112471389257,-0.011746712540309144,1.5332473038257265e-05
4527,9812,F,28,4.646,4.64889,199.37,1,0,0,1,0,2288,206.67859659782866,-7.308596597828654,5.295162394854736,5.338280067697116,-0.04311767284237966,-0.5662090475782355,0.0005147001234204268,-0.012848893678550868,1.834473148948827e-05
8186,4658,M,25,4.154,4.50622,214.35,0,0,1,0,0,4164,210.47151386756383,3.8784861324361657,5.367610193043986,5.326149716502892,0.041460476541094415,0.3004756534297185,0.0005516523478087106,0.007059303380915562,5.537467296755908e-06
12194,19196,F,42,5.276,5.17834,228.25,1,0,0,0,1,6139,229.4127193649819,-1.1627193649819105,5.430441519475078,5.436986738409523,-0.006545218934444819,-0.0900710791675977,0.0003894873881367592,-0.0017779381894252385,3.5125580265314637e-07
24264,27412,F,45,7.056,7.01837,305.28,1,0,0,0,0,12102,310.7620443967551,-5.4820443967551,5.721229388259921,5.748082802444104,-0.026853414184182967,-0.424768235872699,0.000832157798682457,-0.012258452613557461,1.6697667726063223e-05
691,567,M,30,3.766,3.8502199999999998,171.95,0,0,1,0,0,361,177.66976410573733,-5.71976410573734,5.147203736878275,5.200611994477423,-0.05340825759914836,-0.44309980729638027,0.00043496727848420545,-0.00924324207905875,9.493637383773013e-06
11059,7485,M,40,4.746,4.72331,224.57,0,0,1,0,0,5584,212.18970266557412,12.380297334425876,5.41418746259045,5.338506357628904,0.07568110496154556,0.9590983910086978,0.0004198583021045272,0.019656478931461562,4.293105712437959e-05
18849,20544,F,45,5.6339999999999995,5.60635,256.33,1,0,0,0,1,9419,248.6204697992477,7.709530200752283,5.546465676851812,5.51219855187125,0.03426712498056261,0.5972372864254393,0.0004023444738114847,0.011982110475232313,1.5953109176072437e-05
10838,12277,M,65,4.706,4.8693,223.88,0,0,0,1,0,5483,223.99802132038963,-0.11802132038963009,5.411110194023159,5.40905944141689,0.0020507526062694126,-0.009143775671423807,0.0006415618291385594,-0.00023167767133905516,5.964290849340246e-09
1577,4452,M,30,4.226,4.28961,181.22,0,0,1,0,0,812,195.89258388724286,-14.672583887242865,5.199711762793915,5.272244104849334,-0.07253234205541936,-1.1366617354713042,0.00035733495917693406,-0.02149050404357973,5.131461417941419e-05
26109,27036,M,38,7.154,7.59427,352.1,0,0,0,0,0,13033,351.0450830557239,1.0549169442761013,5.863915226161007,5.89906958063498,-0.03515435447397319,0.08175293976410719,0.0011932514752665791,0.0028257168049080667,8.872530610624329e-07
10672,13126,F,30,4.8260000000000005,5.00865,223.35,1,0,0,1,0,5401,225.01128677395835,-1.6612867739583521,5.408740047798128,5.408966137867542,-0.00022609006941376464,-0.12869841599048973,0.0004723186267843074,-0.0027976496393901534,8.697142023168036e-07
18751,24565,F,55,5.95,5.758030000000001,255.77,1,0,0,0,0,9371,254.16591245989716,1.604087540102853,5.5442786031426925,5.529086788483712,0.015191814658980896,0.12429488284752674,0.0009169065384526347,0.0037654334754318743,1.5755054397519513e-06
7371,1565,M,47,3.9139999999999997,4.227040000000001,211.33,0,0,1,0,0,3756,196.83488687872185,14.495113121278166,5.353420892774061,5.2765809556275025,0.07683993714655823,1.1229832596103977,0.0004841251532280367,0.024714808963642483,6.786774185140792e-05
3875,5678,M,35,4.21,4.2934,196.12,0,0,1,0,0,1969,196.1512357879726,-0.031235787972605067,5.278726716783033,5.273902062765807,0.004824654017225427,-0.002419614880218524,0.0003133151905566146,-4.283561618784169e-05,2.0389214501230028e-10
26157,27331,M,54,6.994,7.64451,354.0,0,0,0,0,0,13054,356.11115705983445,-2.1111570598344542,5.869296913133774,5.919747417487573,-0.05045050435379839,-0.16359565867935397,0.0010358813928882573,-0.005268073748439856,3.083850156562757e-06
15126,11090,M,48,4.926,5.024290000000001,238.22,0,0,0,1,0,7621,230.26234740123147,7.957652598768533,5.473194616452755,5.431415791534631,0.0417788249181239,0.6164559941973659,0.0003918502413707484,0.012205265894095606,1.6552836276363564e-05
