,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index
15576,20443,F,45,5.49,5.6182,239.8,1,0,0,0,1,7720
20289,22688,F,47,5.49,5.54473,264.98,1,0,0,0,1,10128
3143,7399,M,40,4.58,4.4721,191.95,0,0,1,0,0,1545
9265,8472,M,64,4.42,4.66027,218.28,0,0,0,1,0,4550
96,161,M,39,3.5860000000000003,3.61323,154.82,0,0,1,0,0,49
20728,11011,M,47,4.754,5.60161,267.88,0,0,0,1,0,10352
20471,20338,F,42,5.426,5.5442599999999995,266.17,1,0,0,0,1,10217
23922,26952,F,25,6.27,6.23629,299.87,1,0,0,0,0,11972
2229,2147,M,35,4.2139999999999995,4.16495,186.5,0,0,1,0,0,1109
9582,16596,F,34,4.9639999999999995,4.96741,219.38,1,0,0,0,1,4715
23470,26397,F,26,6.876,6.9449,294.18,1,0,0,0,0,11757
565,1629,M,39,3.924,3.9308,169.7,0,0,1,0,0,281
19124,24009,M,65,5.553999999999999,5.65233,257.75,0,0,0,0,0,9541
7593,14762,F,35,4.816,4.90674,212.13,1,0,0,1,0,3713
20266,1058,M,25,3.9739999999999998,4.85745,264.83,0,0,1,0,0,10118
653,922,M,35,3.87,3.93506,171.28,0,0,1,0,0,313
16030,22577,F,50,5.484,5.5836,241.93,1,0,0,0,1,7952
20560,21608,M,63,5.61,5.69499,266.83,0,0,0,0,1,10261
8921,16159,F,29,4.6339999999999995,4.7929900000000005,217.0,1,0,0,0,1,4367
12272,31364,M,34,4.75,4.67117,228.5,0,0,0,0,0,6085
7589,14934,F,26,5.004,4.9404,212.12,1,0,0,1,0,3710
8083,5406,F,38,4.81,4.83328,213.97,1,0,1,0,0,3959
1102,39,F,31,3.944,4.06115,177.27,1,1,0,0,0,533
21578,29314,M,22,6.31,6.01635,274.7,0,0,0,0,0,10807
19739,23017,F,46,5.47,5.69262,261.33,1,0,0,0,1,9862
8212,13357,F,32,4.914,4.97832,214.43,1,0,0,1,0,4028
7373,4934,M,22,4.244,4.47589,211.35,0,0,1,0,0,3607
5744,7501,M,40,4.404,4.4972199999999996,205.08,0,0,1,0,0,2826
11331,20292,F,55,5.204,5.22811,225.43,1,0,0,0,1,5608
22215,29041,F,42,6.376,6.45669,280.42,1,0,0,0,0,11134
9106,14944,F,39,4.824,4.947030000000001,217.68,1,0,0,1,0,4468
11787,13028,F,31,4.956,5.14895,227.03,1,0,0,1,0,5837
8030,17691,F,23,5.216,5.15085,213.8,1,0,0,0,1,3936
19974,25270,F,56,5.48,5.80638,262.72,1,0,0,0,0,9969
15543,19195,F,44,5.204,5.39732,239.68,1,0,0,0,1,7705
1136,4687,M,22,4.16,4.18865,177.65,0,0,1,0,0,552
8350,9763,M,54,4.864,4.85697,214.97,0,0,0,1,0,4089
20936,30797,M,35,5.474,5.2461199999999995,269.43,0,0,0,0,0,10456
14719,19183,M,58,5.1,5.16886,236.83,0,0,0,0,1,7307
20338,26386,F,24,5.4239999999999995,5.75424,265.27,1,0,0,0,0,10154
24409,27487,M,27,6.124,5.951890000000001,307.52,0,0,0,0,0,12213
