,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",w3_fit,"Res, w3_OLS",ti,hii,DFFITS,Cooks distance
15029,18899,F,38,5.55,5.53857,237.87,1,0,0,0,1,7559,246.40010397383446,-8.530103973834457,5.471724305952417,5.502217620187529,-0.03049331423511159,245.23692045131432,-7.366920451314314,-0.6289326988367031,0.0011280649615011914,-0.021135684826083547,8.935969376473744e-05
13393,23228,M,66,5.494,5.44757,232.3,0,0,0,0,1,6716,247.51046618071067,-15.210466180710654,5.4480296397763635,5.509634726458902,-0.06160508668253861,246.62718962256298,-14.327189622562969,-1.2237358457960303,0.001755512158577552,-0.05131816775574907,0.0005266319957210019
20494,17671,F,40,5.394,5.92961,266.38,1,0,0,0,1,10240,272.62083660569067,-6.240836605690674,5.584923860772885,5.600716032120633,-0.015792171347747797,275.15141533780695,-8.771415337806957,-0.7490635711724868,0.0016798360546978397,-0.03072679086080123,0.0001888520865223861
18995,17707,M,56,5.296,5.4783800000000005,257.08,0,0,0,0,1,9492,253.41453794808123,3.6654620519187517,5.549387320503086,5.529219709561998,0.020167610941087766,253.57162618330497,3.5083738166950127,0.299540970769903,0.0013680308964936542,0.011086678492194439,2.458962590478279e-05
16338,21593,M,79,5.486000000000001,5.51013,243.43,0,0,0,0,1,8201,250.7545131292404,-7.324513129240387,5.494829426861329,5.523866983944364,-0.02903755708303546,250.90873843077196,-7.478738430771955,-0.6392448763983246,0.0035165589150213715,-0.037974421063015754,0.0002884626817122474
17707,17098,M,66,5.1339999999999995,5.41913,250.25,0,0,0,0,1,8859,252.23323602164604,-1.9832360216460359,5.52246041819533,5.525338435931709,-0.0028780177363794124,253.4760841153123,-3.2260841153122897,-0.27550658916721693,0.001859231537232612,-0.01189057431783391,2.828501969646181e-05
16667,16526,F,28,4.85,5.3063199999999995,244.93,1,0,0,0,1,8346,245.4444187048784,-0.5144187048783806,5.50097245543491,5.492874333737407,0.008098121697503124,246.79939186286185,-1.8693918628618462,-0.15970157236909907,0.0025752922037000927,-0.008114885334970567,1.3174137380431346e-05
21221,21580,M,64,5.294,5.86705,271.57,0,0,0,0,1,10573,276.4336214776106,-4.863621477610593,5.604219933030011,5.617465551018458,-0.01324561798844659,279.5411248633087,-7.971124863308717,-0.6810239858241739,0.0025996177734773744,-0.0347682147741421,0.00024180478159416732
8875,20610,M,61,5.156000000000001,5.01955,216.85,0,0,0,0,1,4521,228.0468149818236,-11.196814981823593,5.379205870281376,5.433264671959658,-0.054058801678282364,226.2694529779477,-9.419452977947714,-0.8045074518664738,0.001908563346445128,-0.035180191239175165,0.00024755545938051247
19513,20984,F,45,5.466,5.66276,259.87,1,0,0,0,1,9740,255.01822395691002,4.851776043089984,5.560181505973845,5.535380311103534,0.024801194870311072,255.52865103485266,4.341348965147347,0.3705040565179054,0.0005159108906527534,0.008417679239389148,1.4175146055148599e-05
21150,22659,F,47,5.67,5.58455,271.1,1,0,0,0,1,10544,246.56283031340143,24.537169686598588,5.60248775650462,5.504945492681266,0.09754226382335407,245.32825451514356,25.771745484856467,2.201657415184574,0.0011136296054685092,0.07351265068974785,0.0010795716819922204
17848,23164,M,69,5.784,5.81349,250.88,0,0,0,0,1,8924,264.19673577692646,-13.316735776926464,5.524974737162043,5.574908876112955,-0.04993413895091248,264.0152900966659,-13.135290096665926,-1.1220789508903388,0.0020894807928667223,-0.051344840235360824,0.0005272174095024666
21160,22768,F,45,5.686,5.8552,271.13,1,0,0,0,1,10546,262.6680320536409,8.461967946359096,5.602598410655186,5.565611524623318,0.03698688603186806,263.04436566455104,8.085634335448958,0.6902038784697146,0.0008511998545722256,0.020145501362880448,8.11810409093914e-05
19919,21838,M,63,5.62,5.62863,262.43,0,0,0,0,1,9953,256.3087250659868,6.121274934013229,5.569984379803134,5.543180670500015,0.026803709303118595,255.68873493452665,6.741265065473357,0.5756568784262649,0.0016260988188747886,0.023232211663334,0.00010796886265407259
22286,19931,M,63,5.3,5.43998,281.1,0,0,0,0,1,11089,250.6743574008955,30.42564259910452,5.638710477912486,5.519971192020754,0.11873928589173222,250.8568599295624,30.24314007043762,2.5846575777090313,0.0013462256873748614,0.0948974357601639,0.0017980301206821474
10923,20740,F,47,5.263999999999999,5.25655,224.17,1,0,0,0,1,5525,234.0788279812349,-9.908827981234907,5.412404692585804,5.455329621976409,-0.04292492939060466,233.27235544421023,-9.102355444210247,-0.7769086332410872,0.0005959925471292721,-0.018972292806917798,7.19981703841198e-05
19031,19425,F,36,5.364,5.51961,257.28,1,0,0,0,1,9516,248.68562262750999,8.594377372489987,5.550164985990602,5.509436573550765,0.0407284124398366,248.50490425890163,8.77509574109834,0.74908057050934,0.000887229630638673,0.022322318285353093,9.967034644238453e-05
8742,18552,F,41,5.004,4.97595,216.38,1,0,0,0,1,4447,222.14457428651505,-5.764574286515057,5.377036121259428,5.4077326884439785,-0.030696567184550716,220.87975473053626,-4.499754730536267,-0.3840632920903146,0.0007230998409111652,-0.010331396021638087,2.135302838941828e-05
