,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index
24030,30383,F,40,6.44,6.85721,301.57,1,0,0,0,0,12020
24614,28730,M,53,6.444,6.5979399999999995,311.38,0,0,0,0,0,12312
25550,30280,F,34,6.676,7.241619999999999,331.9,1,0,0,0,0,12766
26210,30526,M,36,6.816,7.653989999999999,356.37,0,0,0,0,0,13096
21320,31121,M,51,6.096,6.2756300000000005,272.45,0,0,0,0,0,10672
25134,25771,F,40,6.06,6.633489999999999,321.85,1,0,0,0,0,12561
23437,26542,F,32,6.4239999999999995,6.73066,293.77,1,0,0,0,0,11741
22809,28295,F,40,6.52,6.671410000000001,286.43,1,0,0,0,0,11435
23880,26228,M,33,6.1339999999999995,5.98791,299.15,0,0,0,0,0,11949
22035,28167,F,53,5.456,5.888380000000001,278.62,1,0,0,0,0,11040
23207,24031,M,65,5.513999999999999,5.5494699999999995,290.9,0,0,0,0,0,11627
17455,24802,F,66,5.78,5.86231,248.95,1,0,0,0,0,8716
23617,30619,M,58,6.29,6.43536,296.08,0,0,0,0,0,11825
25932,28349,F,48,6.21,7.13497,344.97,1,0,0,0,0,12954
24968,25715,M,58,6.3,6.53253,318.32,0,0,0,0,0,12478
16590,25287,M,29,6.074,6.7164399999999995,244.55,0,0,0,0,0,8254
20510,26749,F,47,5.74,5.830080000000001,266.5,1,0,0,0,0,10239
25582,29662,F,45,6.836,7.13592,332.67,1,0,0,0,0,12780
13113,29779,M,50,5.584,5.506819999999999,231.3,0,0,0,0,0,6525
18460,26652,M,31,4.824,5.26935,254.12,0,0,0,0,0,9209
19662,24515,F,59,5.546,5.85378,260.92,1,0,0,0,0,9827
21805,29032,F,23,6.334,6.22965,276.55,1,0,0,0,0,10919
17263,30925,M,52,5.49,5.36083,247.88,0,0,0,0,0,8616
24810,26123,M,43,6.31,6.567130000000001,314.97,0,0,0,0,0,12403
9218,27464,F,23,5.3260000000000005,5.1086599999999995,218.12,1,0,0,0,0,4519
15327,28399,F,24,5.976,5.4888,238.92,1,0,0,0,0,7601
20683,31405,M,56,6.263999999999999,6.0220400000000005,267.65,0,0,0,0,0,10329
21793,28367,M,48,5.88,6.063280000000001,276.43,0,0,0,0,0,10911
22128,26167,F,35,6.516,6.5932,279.53,1,0,0,0,0,11084
19669,25282,M,21,5.656000000000001,5.763719999999999,260.95,0,0,0,0,0,9830
20408,29732,M,42,5.954,5.648540000000001,265.72,0,0,0,0,0,10185
25608,26517,F,49,7.296,7.490460000000001,333.68,1,0,0,0,0,12792
24929,29491,M,31,6.154,6.69985,317.57,0,0,0,0,0,12459
20610,25495,F,48,6.263999999999999,6.17467,267.18,1,0,0,0,0,10287
18457,28159,F,28,6.044,5.76609,254.07,1,0,0,0,0,9206
24198,29586,F,33,5.974,6.54817,304.1,1,0,0,0,0,12099
6270,25510,M,50,4.803999999999999,4.79536,207.02,0,0,0,0,0,3076
21170,27456,F,27,5.676,5.65233,271.18,1,0,0,0,0,10595
20239,24487,F,60,6.41,6.38133,264.65,1,0,0,0,0,10102
16699,24159,M,67,5.404,5.450880000000001,245.1,0,0,0,0,0,8324
26064,26489,M,61,6.084,6.753410000000001,350.52,0,0,0,0,0,13019
22873,25668,M,43,5.16,5.49686,287.18,0,0,0,0,0,11466
15255,28337,M,35,6.32,5.83576,238.67,0,0,0,0,0,7564
25450,27802,F,22,6.774,7.22835,329.22,1,0,0,0,0,12712
23877,24447,M,69,5.876,6.2249099999999995,299.13,0,0,0,0,0,11948
23328,24580,F,56,6.1,6.2813099999999995,292.5,1,0,0,0,0,11692
20763,24751,F,61,5.706,5.8552,268.2,1,0,0,0,0,10375
25698,25988,F,34,6.646,7.34068,336.13,1,0,0,0,0,12828
24716,30239,M,51,6.406000000000001,6.4747,313.13,0,0,0,0,0,12358
19447,27934,F,22,5.664,5.64522,259.53,1,0,0,0,0,9716
20429,24058,F,50,5.766,5.7329099999999995,265.83,1,0,0,0,0,10197
18591,27416,F,30,5.3839999999999995,5.54805,254.82,1,0,0,0,0,9274
20621,30519,F,25,6.064,5.85757,267.27,1,0,0,0,0,10294
23396,27343,F,50,6.484,6.50788,293.28,1,0,0,0,0,11723
22899,28109,F,39,6.1739999999999995,6.40929,287.43,1,0,0,0,0,11481
25102,25874,F,42,6.76,7.209389999999999,321.1,1,0,0,0,0,12541
20467,25417,M,44,5.496,5.61346,266.13,0,0,0,0,0,10214
18210,24293,F,56,5.78,5.769880000000001,252.63,1,0,0,0,0,9083
