,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index
218,84,M,40,3.406,3.46155,161.73,0,1,0,0,0,114
1080,46,F,37,3.73,3.8345800000000003,177.03,1,1,0,0,0,521
56,78,M,48,3.094,3.35964,150.18,0,1,0,0,0,25
74,15,F,32,3.554,3.4530199999999995,152.4,1,1,0,0,0,40
109,21,F,30,3.614,3.67958,156.18,1,1,0,0,0,57
31,54,M,29,3.324,3.3297800000000004,144.82,0,1,0,0,0,13
24,23,F,25,3.55,3.4388,143.0,1,1,0,0,0,10
49,51,M,37,3.366,3.4734,148.65,0,1,0,0,0,19
15,35,M,32,3.2760000000000002,3.2885400000000002,138.33,0,1,0,0,0,6
97,32,F,30,3.74,3.72888,154.88,1,1,0,0,0,50
33,6,F,33,3.55,3.4388,145.1,1,1,0,0,0,14
189,1,F,30,3.55,3.53833,160.12,1,1,0,0,0,96
133,44,F,33,3.73,3.75495,157.5,1,1,0,0,0,70
13,16,M,34,3.0860000000000003,3.17715,137.67,0,1,0,0,0,4
1102,39,F,31,3.944,4.06115,177.27,1,1,0,0,0,533
8107,38,F,30,3.8539999999999996,4.37398,214.05,1,1,0,0,0,3968
44,86,M,43,3.324,3.3947199999999995,147.58,0,1,0,0,0,18
418,37,F,34,3.824,3.8829300000000004,167.0,1,1,0,0,0,211
28,53,M,28,3.266,3.3188800000000005,143.85,0,1,0,0,0,12
17,3,M,32,3.08,3.06103,139.55,0,1,0,0,0,7
455,42,F,30,3.85,3.93554,167.62,1,1,0,0,0,229
132,79,M,45,3.33,3.426,157.47,0,1,0,0,0,69
159,29,F,29,3.714,3.70755,158.8,1,1,0,0,0,85
697,59,M,28,3.0839999999999996,3.22313,172.03,0,1,0,0,0,333
14,10,M,34,3.08,3.06103,138.23,0,1,0,0,0,5
666,50,M,37,3.3360000000000003,3.64356,171.55,0,1,0,0,0,317
5,15,M,40,3.0839999999999996,3.06103,132.75,0,1,0,0,0,1
117,33,F,32,3.6439999999999997,3.6980699999999995,156.5,1,1,0,0,0,60
6,63,M,33,3.0839999999999996,3.06198,133.27,0,1,0,0,0,2
69,14,F,23,3.55,3.4388,151.8,1,1,0,0,0,36
316,83,M,42,3.3760000000000003,3.57625,164.57,0,1,0,0,0,160
53,8,F,24,3.55,3.4388,149.58,1,1,0,0,0,23
106,82,M,40,3.3339999999999996,3.49425,155.97,0,1,0,0,0,55
43,2,F,33,3.55,3.4388,147.33,1,1,0,0,0,17
119,28,F,39,3.714,3.7042300000000004,156.55,1,1,0,0,0,62
62,4,F,29,3.55,3.49805,150.97,1,1,0,0,0,29
157,31,F,28,3.61,3.6615699999999998,158.73,1,1,0,0,0,82
671,41,M,38,3.486,3.70044,171.65,0,1,0,0,0,320
459,52,M,26,3.326,3.45681,167.68,0,1,0,0,0,231
26,33,M,36,3.304,3.30229,143.2,0,1,0,0,0,11
61,75,M,41,3.326,3.40562,150.68,0,1,0,0,0,28
63,27,M,28,3.2039999999999997,3.21697,151.07,0,1,0,0,0,30
1,17,M,30,3.08,3.06103,129.97,0,1,0,0,0,0
18,30,M,29,3.134,3.17715,140.2,0,1,0,0,0,8
12,14,M,41,3.08,3.07856,137.0,0,1,0,0,0,3
94,17,F,26,3.554,3.5558699999999996,154.73,1,1,0,0,0,47
679,43,F,26,3.85,3.93649,171.77,1,1,0,0,0,325
