,Bib,Name,Age,M/F,City,State,Country,Citizen,"X2, 5K Pace","X3, Half Pace","X2, 5K",5K,10K,15K,20K,"X3, Half",Half,25K,30K,35K,40K,Pace,Proj Time,"Y, Official Time",Official Time,Overall,Gender,Division
189,1,"Baysa, Atsede",30,F,Liteshoa,,ETH,,3.55,3.53833,17.75,0:17:45,0:34:58,0:51:55,1:10:28,74.65,1:14:39,1:29:55,1:51:07,2:11:10,2:31:29,0:06:07,-,160.12,2:40:07,190,22,20
43,2,"Cherono, Gladys",33,F,Kericho,,KEN,,3.55,3.4388,17.75,0:17:45,0:34:58,0:51:54,1:08:49,72.55,1:12:33,1:25:51,1:42:40,2:00:30,2:19:07,0:05:38,-,147.33,2:27:20,44,5,5
17,3,"Mutai, Emmanuel",32,M,Lessos,,KEN,,3.08,3.06103,15.4,0:15:24,0:30:27,0:45:43,1:01:15,64.58,1:04:35,1:16:59,1:33:24,1:51:32,2:10:44,0:05:20,-,139.55,2:19:33,18,18,15
20,3,"Kiplagat, Edna",37,F,Uasin Gishu,,KEN,,3.554,3.4388,17.77,0:17:46,0:34:58,0:51:55,1:08:50,72.55,1:12:33,1:25:51,1:42:40,1:58:41,2:14:43,0:05:25,-,141.87,2:21:52,21,1,1
62,4,"Deba, Buzunesh",29,F,Arsi,,ETH,,3.55,3.49805,17.75,0:17:45,0:34:59,0:52:32,1:10:00,73.8,1:13:48,1:27:48,1:46:16,2:04:47,2:22:49,0:05:46,-,150.97,2:30:58,63,7,7
11,6,"Tsegay, Yemane",32,M,Addis Ababa,,ETH,,3.08,3.06198,15.4,0:15:24,0:30:27,0:45:44,1:01:15,64.6,1:04:36,1:17:30,1:34:33,1:52:00,2:08:57,0:05:14,-,136.78,2:16:47,12,12,11
33,6,"Linden, Desiree",33,F,Washington,MI,USA,,3.55,3.4388,17.75,0:17:45,0:34:57,0:51:54,1:08:49,72.55,1:12:33,1:25:53,1:42:50,2:00:13,2:17:25,0:05:33,-,145.1,2:25:06,34,4,4
7,7,"Sefir, Dino",28,M,Addis Ababa,,ETH,,3.08,3.13165,15.4,0:15:24,0:30:28,0:46:13,1:02:35,66.07,1:06:04,1:18:36,1:34:52,1:51:11,2:07:09,0:05:08,-,134.43,2:14:26,8,8,7
53,8,"Kipketer, Valentine",24,F,Keiyo,,KEN,,3.55,3.4388,17.75,0:17:45,0:34:58,0:51:55,1:08:49,72.55,1:12:33,1:25:50,1:42:41,2:01:27,2:20:47,0:05:43,-,149.58,2:29:35,54,6,6
4,9,"Chebet, Wilson",31,M,Marakwet,,KEN,,3.084,3.06103,15.42,0:15:25,0:30:28,0:45:44,1:01:15,64.58,1:04:35,1:16:59,1:33:01,1:48:41,2:05:00,0:05:04,-,132.58,2:12:35,5,5,5
